state_name,literacy_2011,literacy_2019
Andaman & Nicobar Islands,86.63,90.96
Andhra Pradesh,67.02,68.70
Arunachal Pradesh,65.38,68.65
Assam,72.19,73.99
Bihar,61.80,60.13
Chandigarh,86.05,87.77
Chhattisgarh,70.28,72.04
Dadra & Nagar Haveli,76.34,74.81
Daman & Diu,87.10,91.46
Goa,88.70,93.14
Gujarat,78.03,79.59
Haryana,75.55,74.04
Himachal Pradesh,82.80,84.46
India,74.04,76.26
Jammu & Kashmir,67.16,68.84
Jharkhand,66.41,68.80
Karnataka,75.36,73.85
Kerala,94.15,98.70
Lakshadweep,91.85,96.44
Madhya Pradesh,69.32,71.05
Maharashtra,82.34,83.99
Manipur,76.94,79.25
Meghalya,74.43,72.94
Mizoram,91.33,95.90
Nagaland,79.55,81.14
NCR OF Delhi,86.21,90.52
Odisha,72.87,74.69
Puducherry,85.85,87.57
Punjab,75.84,74.32
Rajasthan,66.11,67.50
Sikkim,81.42,83.05
Tamil Nadu,80.09,81.69
Telangana,67.02,69.43
Tripura,87.22,91.58
Uttar Pradesh,67.68,69.37
Uttarakhand,78.82,80.40
West Bengal,76.36,78.65
